Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	Caprolactam	Nonanoic acid	indole	a-copaene	petasitene	(E)-a-bergamotene	b-caryophyllene	(E)-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(Z)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	(Z)-a-bergamotene	a-humulene	(2E)-2,7-dimethylocta-2,6-dien-1-ol	benzaldehyde	limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	cosmene	(4E,6Z)-alloocimene	furan-3-carbaldehyde	sabinene	3-carene	b-caryophyllene oxide	[(Z)-hex-3-enyl] 2-methylbutanoate	2-butyloctan-1-ol	hexan-1-ol	verbenone	3-methylbutan-1-ol
1A232_June28_07262018_2C265_June19.qgd	0	0	91751	21950	8154	0	0	10412	0	0	2777	0	295497	0	0	0	3827	0	2953	2090	0	7324	0	5814	64223	38134	9863	0	4682	11151	0	27457	432336	68378	78691	41303	0	0	494	39062	20660	29086	0	0	120205	42696	0	0
6C78_June27_07282018.qgd	0	0	66109	24715	5163	0	3738	9048	0	17103	3997	6418	295673	19019	0	0	1377	0	0	2520	15335	0	9965	0	0	13935	0	0	7207	13773	2713	43624	324581	75722	43003	9272	0	0	652	52758	54568	85679	0	0	176909	28679	0	0
4B189_June28_07282018.qgd	0	0	63615	26501	7506	3310	3878	8641	0	24588	3777	0	233135	0	0	1777	1254	0	0	1965	21824	0	9233	7910	0	25334	13264	0	3747	3788	0	28535	352891	45898	41506	13598	0	0	1278	28011	18297	28316	0	0	104641	22235	963	0
3B833_June28_07282018.qgd	0	0	20468	0	36272	3597	6012	4016	0	31839	2040	0	144619	47166	0	1178	0	0	415	0	10714	0	10290	0	0	21325	2395	0	0	0	0	10117	205943	21864	15929	10282	0	0	0	14094	8806	11601	0	0	82817	12241	1354	0
3D858_July16_07282018.qgd	0	0	242804	39717	14542	45361	1385	2073	0	7983	2433	0	113769	8012	0	0	3425	68774	0	7970	6215	0	0	0	45888	5407	8532	0	5705	28923	4245	0	149271	47679	19521	8660	2632	3086	2020	27415	9434	8465	0	0	49212	41326	2870	1914
6B28_July3_07282018.qgd	0	0	103643	0	330388	0	0	42413	0	0	5406	0	1380947	0	0	1890	5679	0	6611	31165	75070	0	0	6094	108159	42769	0	0	0	19112	15952	240325	1255626	333248	1897741	30812	0	0	787	65230	89299	146059	0	0	213298	94829	12622	0
3C171_July9_07282018.qgd	0	0	76943	0	45308	3717	3717	24758	0	0	2212	0	333437	12298	0	2998	1791	0	3062	9022	23793	0	0	0	0	0	0	0	0	12937	0	147840	544516	47365	102221	8431	0	0	564	43448	14040	18627	0	0	120934	46374	5950	0
3D858_July16v2_07282018.qgd	0	0	138776	0	73579	0	0	24414	0	0	5048	0	624838	389932	0	11700	2948	0	0	39714	15613	0	0	0	170839	12220	0	0	0	0	24010	189847	1117797	69675	658930	14107	0	0	884	67412	29633	44112	0	0	150602	101333	4055	0
2B195_June29_07282018.qgd	0	0	68726	0	202329	0	0	24328	0	13505	6619	15538	921599	0	0	5472	2780	0	0	30196	0	0	0	0	46305	62629	24443	0	0	0	13934	0	848386	177856	332280	32384	0	0	805	69387	76382	123316	0	0	279793	72797	6704	0
5C103_July3_07282018.qgd	9040	0	47107	24269	10642	38585	0	6209	0	0	4042	0	156117	0	8410	0	1829	0	2569	0	3107	1596	0	0	118124	51747	10011	12026	3421	9403	1898	28134	280247	54914	18546	32756	0	0	2663	20169	13864	20476	0	0	72933	37185	823	0
3D879_July9_07282018.qgd	7040	0	140441	29285	9642	0	0	5312	0	9497	4862	0	151172	88034	0	1743	22920	0	2064	218741	5213	0	0	0	169592	37812	8270	21300	4311	2519	54275	29753	266528	54162	16974	20888	0	7008	1333	19106	11238	13670	10988	9870	103829	68271	4990	0
3C168_June29_07282018.qgd	20355	0	142777	35091	7033	0	2254	7729	0	9812	5366	0	162570	883310	0	2606	3430	0	13624	13146	3357	18629	0	0	354501	383186	120021	5916	22017	2859	0	31082	310335	37485	28254	84615	0	0	1299	28808	5329	5818	227	34663	0	0	2880	4698
5A175_July3_07282018.qgd	0	0	91165	0	41085	0	0	13331	0	0	6531	0	257173	38519	0	4899	1308	21098	0	5542	23574	0	0	0	0	0	0	6198	5175	7870	0	16010	409044	41404	58032	8028	0	0	0	69016	11120	16931	0	0	99173	33072	1868	0
5A181_June25v2_07282018.qgd	0	0	8669	0	5341	17835	3183	7246	0	22901	5226	0	288159	199562	0	3262	2885	0	1212	6144	10860	0	9210	0	0	12300	0	0	1718	0	0	0	256303	10348	7139	13444	0	0	856	27721	2316	1231	0	0	0	20277	0	0
2A172_July5_07282018.qgd	0	0	76862	0	3758	0	0	8898	0	0	5435	5760	176981	122442	0	4566	823	0	694	0	7931	0	0	0	31335	15468	0	0	2569	0	1259	0	281249	29595	12784	14346	0	0	347	33193	22307	35614	0	0	41619	27222	0	0
6A143_July9_07282018.qgd	0	0	113492	7714	3121	0	0	2510	0	0	2011	0	169131	173765	0	1481	390	29318	0	0	5582	0	0	6896	35116	6536	4714	2004	1202	681	0	6245	108344	21171	7207	7965	0	1481	516	14410	11996	12590	0	0	24683	34684	1655	4506
1A238_July5_07282018.qgd	0	0	93489	9764	14208	19366	0	3813	0	0	1503	0	116775	256289	0	1805	0	8758	0	843	4428	0	5595	0	17374	8512	2520	0	1855	3849	1306	14157	124531	30266	17216	6041	0	2101	1850	18802	20566	27406	0	0	53537	21750	1530	2632
2D258_July6_07282018.qgd	3461	0	46827	82358	4726	0	0	6602	0	0	4001	0	120960	47994	0	2471	0	11795	1881	0	0	0	0	0	40316	12317	3839	2814	2760	3692	5907	0	285286	34913	17222	8176	0	0	720	25355	17862	24710	502	0	0	30187	0	0
